stock_id,trade_date,open,close,change_pct,previous_trade_date,previous_close,calendar_gap_days,close_return,open_gap,implied_official_reference_price,reference_reset_return,market_return_from_reference,observation_number,official_event_date,event_kinds,source_reports,official_pre_close,official_reference_price,official_adjustment_factor,event_ledger_eligible,event_ledger_block_reasons,classification,asset_type,listing_date,total_return_eligible,official_pre_close_matches
1526,2006-02-22,4.8,4.49,0.0,2006-01-18,3.2,35.0,0.40312499999999996,0.4999999999999998,4.49,0.40312499999999996,0.0,261,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,2000-03-27,False,
1527,2006-09-13,38.15,38.0,0.0,2006-09-12,48.7,1.0,-0.21971252566735122,-0.21663244353182765,38.0,-0.21971252566735122,0.0,420,2006-09-13,ex_right_dividend,TWT49U,48.7,38.13,0.7829568788501027,True,,matched_corporate_action,common_stock,2000-06-21,True,True
1532,2010-08-05,36.0,35.2,0.0,2010-08-04,45.55,1.0,-0.22722283205268923,-0.2096597145993413,35.2,-0.22722283205268923,0.0,1379,2010-08-05,ex_right_dividend,TWT49U,45.55,34.84,0.7648737650933042,True,,matched_corporate_action,common_stock,2000-09-11,True,True
1538,2014-11-10,12.65,12.65,0.0,2014-10-24,6.02,17.0,1.101328903654485,1.101328903654485,12.65,1.101328903654485,0.0,2422,2014-11-10,capital_reduction,TWTAUU,6.02,11.86,1.9700996677740865,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,2002-08-26,False,True
1604,2006-11-23,7.28,7.28,0.0,2006-11-03,4.56,20.0,0.5964912280701757,0.5964912280701757,7.28,0.5964912280701757,0.0,455,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1970-12-14,False,
1604,2010-10-18,7.5,7.24,0.0,2010-10-01,5.12,17.0,0.4140625,0.46484375,7.24,0.4140625,0.0,1407,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1970-12-14,False,
1613,2006-01-09,2.6,2.6,0.0,2005-12-07,1.97,33.0,0.31979695431472077,0.31979695431472077,2.6,0.31979695431472077,0.0,231,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1614,2013-10-18,38.0,39.8,0.0,2013-10-03,33.15,15.0,0.20060331825037703,0.14630467571644057,39.8,0.20060331825037703,0.0,2161,2013-10-18,capital_reduction,TWTAUU,33.15,37.23,1.123076923076923,False,capital_refund_and_exchange_ratio_missing,matched_corporate_action,common_stock,1997-09-18,False,True
1721,2009-12-23,13.7,13.7,0.0,2009-12-03,7.51,20.0,0.8242343541944075,0.8242343541944075,13.7,0.8242343541944075,0.0,1215,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1996-05-16,False,
1724,2005-12-29,12.05,12.05,0.0,2005-11-24,8.3,35.0,0.4518072289156627,0.4518072289156627,12.05,0.4518072289156627,0.0,222,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1725,2010-08-19,29.4,26.8,0.0,2010-08-18,33.8,1.0,-0.20710059171597628,-0.1301775147928994,26.8,-0.20710059171597628,0.0,1389,2010-08-19,ex_right_dividend,TWT49U,33.8,28.55,0.8446745562130178,True,,matched_corporate_action,common_stock,2000-09-11,True,True
1736,2006-08-14,188.0,179.0,0.0,2006-08-11,228.0,3.0,-0.2149122807017544,-0.17543859649122806,179.0,-0.2149122807017544,0.0,398,2006-08-14,ex_right_dividend,TWT49U,228.0,184.06,0.8072807017543859,True,,matched_corporate_action,common_stock,2003-01-09,True,True
1736,2014-07-22,66.3,66.0,0.0,2014-07-21,101.5,1.0,-0.3497536945812808,-0.3467980295566503,66.0,-0.3497536945812808,0.0,2356,2014-07-22,ex_right_dividend,TWT49U,101.5,66.33,0.6534975369458128,True,,matched_corporate_action,common_stock,2003-01-09,True,True
1737,2013-12-30,30.75,30.75,0.0,2013-12-13,23.5,17.0,0.3085106382978724,0.3085106382978724,30.75,0.3085106382978724,0.0,2211,2013-12-30,capital_reduction,TWTAUU,23.5,28.77,1.2242553191489363,False,capital_refund_and_exchange_ratio_missing,matched_corporate_action,common_stock,2003-11-18,False,True
1805,2006-12-25,20.25,20.25,0.0,2006-12-06,2.37,19.0,7.544303797468354,7.544303797468354,20.25,7.544303797468354,0.0,471,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-10-20,False,
1805,2008-11-03,4.5,3.97,0.0,2008-10-22,5.09,12.0,-0.22003929273084477,-0.11591355599214148,3.97,-0.22003929273084477,0.0,882,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-10-20,False,
1805,2010-08-18,12.95,11.65,0.0,2010-07-30,6.57,19.0,0.7732115677321156,0.9710806697108065,11.65,0.7732115677321156,0.0,1277,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-10-20,False,
1808,2007-09-06,29.1,27.9,0.0,2007-09-05,36.7,1.0,-0.23978201634877394,-0.2070844686648502,27.9,-0.23978201634877394,0.0,606,2007-09-06,ex_right_dividend,TWT49U,36.7,28.96,0.7891008174386921,True,,matched_corporate_action,common_stock,1994-10-26,True,True
2007,2007-04-12,9.15,9.15,0.0,2007-03-23,5.1,20.0,0.7941176470588238,0.7941176470588238,9.15,0.7941176470588238,0.0,546,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-10-04,False,
2007,2009-08-31,8.78,8.46,0.0,2009-08-11,4.71,20.0,0.7961783439490449,0.8641188959660295,8.46,0.7961783439490449,0.0,1122,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-10-04,False,
2017,2009-10-21,8.98,8.93,0.0,2009-10-01,6.3,20.0,0.41746031746031753,0.42539682539682544,8.93,0.41746031746031753,0.0,1170,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1992-11-02,False,
2022,2010-09-07,8.64,8.99,0.0,2010-08-18,6.03,20.0,0.49087893864013266,0.4328358208955225,8.99,0.49087893864013266,0.0,1389,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-03-27,False,
2024,2005-12-05,5.75,5.01,0.0,2005-11-16,3.35,19.0,0.4955223880597013,0.716417910447761,5.01,0.4955223880597013,0.0,216,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-12-30,False,
2030,2007-08-07,33.5,33.65,0.0,2007-08-06,42.9,1.0,-0.2156177156177156,-0.21911421911421913,33.65,-0.2156177156177156,0.0,637,2007-08-07,ex_right_dividend,TWT49U,42.9,33.04,0.7701631701631702,True,,matched_corporate_action,common_stock,1998-12-24,True,True
2030,2008-08-26,16.65,16.0,0.0,2008-08-25,20.1,1.0,-0.20398009950248763,-0.17164179104477628,16.0,-0.20398009950248763,0.0,897,2008-08-26,ex_right_dividend,TWT49U,20.1,16.95,0.8432835820895521,True,,matched_corporate_action,common_stock,1998-12-24,True,True
2031,2005-06-30,28.6,28.15,0.0,2005-06-29,36.1,1.0,-0.22022160664819956,-0.20775623268698062,28.15,-0.22022160664819956,0.0,120,2005-06-30,ex_right_dividend,TWT49U,36.1,28.75,0.796398891966759,True,,matched_corporate_action,common_stock,2000-09-11,True,True
2032,2007-08-14,27.0,26.45,0.0,2007-08-13,33.75,1.0,-0.21629629629629632,-0.19999999999999996,26.45,-0.21629629629629632,0.0,642,2007-08-14,ex_right,TWT49U,33.75,27.0,0.8,True,,matched_corporate_action,common_stock,2000-09-11,True,True
2034,2007-08-08,45.1,45.25,0.0,2007-08-07,58.3,1.0,-0.2238421955403087,-0.2264150943396226,45.25,-0.2238421955403087,0.0,638,2007-08-08,ex_right_dividend,TWT49U,58.3,43.98,0.7543739279588336,False,paid_subscription_settlement_timing_missing,matched_corporate_action,common_stock,2001-09-17,False,True
2101,2006-07-04,45.35,45.35,0.0,2006-07-03,60.4,1.0,-0.2491721854304635,-0.2491721854304635,45.35,-0.2491721854304635,0.0,369,2006-07-04,ex_right_dividend,TWT49U,60.4,42.42,0.702317880794702,True,,matched_corporate_action,common_stock,1963-11-01,True,True
2101,2007-08-20,43.5,41.85,0.0,2007-08-17,60.5,3.0,-0.3082644628099174,-0.28099173553719003,41.85,-0.3082644628099174,0.0,646,2007-08-20,ex_right_dividend,TWT49U,60.5,40.82,0.6747107438016529,True,,matched_corporate_action,common_stock,1963-11-01,True,True
2101,2008-06-25,31.35,31.5,0.0,2008-06-24,41.0,1.0,-0.23170731707317072,-0.23536585365853657,31.5,-0.23170731707317072,0.0,854,2008-06-25,ex_right_dividend,TWT49U,41.0,31.15,0.7597560975609756,True,,matched_corporate_action,common_stock,1963-11-01,True,True
2105,2011-08-04,72.1,67.9,0.0,2011-08-03,87.6,1.0,-0.2248858447488583,-0.1769406392694064,67.9,-0.2248858447488583,0.0,1627,2011-08-04,ex_right_dividend,TWT49U,87.6,71.33,0.8142694063926941,True,,matched_corporate_action,common_stock,1987-12-07,True,True
2109,2013-12-27,20.35,20.35,0.0,2013-12-12,14.9,15.0,0.3657718120805369,0.3657718120805369,20.35,0.3657718120805369,0.0,2210,2013-12-27,capital_reduction,TWTAUU,14.9,19.05,1.278523489932886,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,2000-05-08,False,True
2301,2007-07-26,62.8,57.5,0.0,2007-07-16,44.1,10.0,0.3038548752834467,0.4240362811791383,57.5,0.3038548752834467,0.0,622,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-11-17,False,
2302,2007-12-13,5.74,5.74,0.0,2007-11-27,4.37,16.0,0.3135011441647597,0.3135011441647597,5.74,0.3135011441647597,0.0,714,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1985-01-15,False,
2302,2008-10-01,3.19,3.19,0.0,2008-09-11,2.5,20.0,0.276,0.276,3.19,0.276,0.0,899,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1985-01-15,False,
2302,2009-10-21,5.79,5.79,0.0,2009-10-01,4.1,20.0,0.41219512195121966,0.41219512195121966,5.79,0.41219512195121966,0.0,1147,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1985-01-15,False,
2303,2007-10-09,24.7,23.45,0.0,2007-09-19,19.2,20.0,0.22135416666666674,0.28645833333333326,23.45,0.22135416666666674,0.0,668,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1985-07-16,False,
2314,2013-03-13,19.75,20.15,0.0,2013-02-26,12.9,15.0,0.5620155038759689,0.5310077519379846,20.15,0.5620155038759689,0.0,2012,2013-03-13,capital_reduction,TWTAUU,12.9,19.73,1.5294573643410854,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1990-08-08,False,True
2327,2014-10-09,49.6,48.15,0.0,2014-09-26,22.05,13.0,1.183673469387755,1.2494331065759638,48.15,1.183673469387755,0.0,2394,2014-10-09,capital_reduction,TWTAUU,22.05,49.82,2.259410430839002,False,capital_refund_and_exchange_ratio_missing,matched_corporate_action,common_stock,1993-10-22,False,True
2329,2008-08-21,7.54,6.8,0.0,2008-08-01,4.05,20.0,0.6790123456790125,0.8617283950617285,6.8,0.6790123456790125,0.0,881,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1994-04-20,False,
2331,2012-08-15,9.75,9.36,0.0,2012-08-14,12.05,1.0,-0.22323651452282167,-0.1908713692946059,9.36,-0.22323651452282167,0.0,1882,2012-08-15,ex_dividend,TWT49U,12.05,9.58,0.7950207468879668,True,,matched_corporate_action,common_stock,1994-09-21,True,True
2337,2006-05-17,8.43,8.43,0.0,2006-04-26,4.6,21.0,0.8326086956521741,0.8326086956521741,8.43,0.8326086956521741,0.0,323,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-03-15,False,
2340,2007-10-24,45.0,42.7,0.0,2007-10-04,28.35,20.0,0.5061728395061729,0.5873015873015872,42.7,0.5061728395061729,0.0,677,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-05-02,False,
2341,2006-03-23,27.3,27.3,0.0,2006-02-16,14.35,35.0,0.902439024390244,0.902439024390244,27.3,0.902439024390244,0.0,276,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
2341,2008-03-04,17.15,17.15,0.0,2008-02-13,6.42,20.0,1.671339563862928,1.671339563862928,17.15,1.671339563862928,0.0,740,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
2342,2005-05-16,7.87,7.87,0.0,2005-04-11,3.0,35.0,1.6233333333333335,1.6233333333333335,7.87,1.6233333333333335,0.0,64,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1995-09-19,False,
